scorer,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker,ensemble-kalman_tracker
bodyparts,Snout,Snout,Snout,Snout,Snout,Snout,EarL,EarL,EarL,EarL,EarL,EarL,EarR,EarR,EarR,EarR,EarR,EarR,SpineF,SpineF,SpineF,SpineF,SpineF,SpineF,SpineM,SpineM,SpineM,SpineM,SpineM,SpineM,Tailbase,Tailbase,Tailbase,Tailbase,Tailbase,Tailbase,ForShdL,ForShdL,ForShdL,ForShdL,ForShdL,ForShdL,ForepawL,ForepawL,ForepawL,ForepawL,ForepawL,ForepawL,ForeShdR,ForeShdR,ForeShdR,ForeShdR,ForeShdR,ForeShdR,ForepawR,ForepawR,ForepawR,ForepawR,ForepawR,ForepawR,HindShdL,HindShdL,HindShdL,HindShdL,HindShdL,HindShdL,HindpawL,HindpawL,HindpawL,HindpawL,HindpawL,HindpawL,HindShdR,HindShdR,HindShdR,HindShdR,HindShdR,HindShdR,HindpawR,HindpawR,HindpawR,HindpawR,HindpawR,HindpawR
coords,x,y,z,x_posterior_var,y_posterior_var,z_posterior_var,x,y,z,x_posterior_var,y_posterior_var,z_posterior_var,x,y,z,x_posterior_var,y_posterior_var,z_posterior_var,x,y,z,x_posterior_var,y_posterior_var,z_posterior_var,x,y,z,x_posterior_var,y_posterior_var,z_posterior_var,x,y,z,x_posterior_var,y_posterior_var,z_posterior_var,x,y,z,x_posterior_var,y_posterior_var,z_posterior_var,x,y,z,x_posterior_var,y_posterior_var,z_posterior_var,x,y,z,x_posterior_var,y_posterior_var,z_posterior_var,x,y,z,x_posterior_var,y_posterior_var,z_posterior_var,x,y,z,x_posterior_var,y_posterior_var,z_posterior_var,x,y,z,x_posterior_var,y_posterior_var,z_posterior_var,x,y,z,x_posterior_var,y_posterior_var,z_posterior_var,x,y,z,x_posterior_var,y_posterior_var,z_posterior_var
0,0.9588464,0.091405034,2.1814284,1.5933501e-06,6.6791245e-07,1.3914032e-06,0.9563525,0.07851731,2.189344,2.3027342e-06,7.1775276e-07,1.4568222e-06,0.9578053,0.09069033,2.1711051,1.5821497e-06,8.287975e-07,1.5102923e-06,0.9429897,0.08228898,2.1784556,1.5690539e-06,6.482378e-07,1.4229681e-06,0.93984175,0.0816488,2.1756604,1.2766632e-06,6.1927994e-07,1.2404535e-06,1.0873258,0.11925505,2.690946,6.9933685e-07,4.0236546e-07,4.9290156e-07,0.9519764,0.10191916,2.1907694,2.1142405e-06,6.0321236e-07,1.5340001e-06,0.95699656,0.10713048,2.1896179,2.092852e-06,9.0668846e-07,1.6215854e-06,0.95522064,0.095579214,2.1695273,1.3367035e-06,6.11034e-07,1.3713316e-06,0.95394653,0.08785941,2.1808655,2.304817e-06,9.630426e-07,2.224093e-06,0.9412196,0.10370475,2.1981163,1.8101564e-06,4.828844e-07,1.7534257e-06,0.94134367,0.11737798,2.1968431,2.6892294e-06,8.1297594e-07,2.3127004e-06,0.9924218,0.08223051,2.1930091,7.326835e-07,4.547378e-07,1.1755428e-06,0.95511335,0.09370124,2.1748648,2.48606e-06,9.953187e-07,1.7037182e-06
1,0.9587241,0.09142421,2.181155,1.4162647e-06,5.9876606e-07,1.2221603e-06,0.9559364,0.0785502,2.1890583,1.9563176e-06,6.384314e-07,1.2719179e-06,0.95772165,0.09071991,2.170788,1.4077709e-06,7.252322e-07,1.314294e-06,0.94287485,0.08231069,2.1782002,1.3974459e-06,5.829304e-07,1.2479254e-06,0.9397773,0.08165301,2.1755095,1.1603729e-06,5.59352e-07,1.1053471e-06,1.0877968,0.119666435,2.6929607,6.5699396e-07,3.6499864e-07,4.5442584e-07,0.9517746,0.10193731,2.1904745,1.815944e-06,5.467016e-07,1.3321046e-06,0.9568391,0.107171185,2.1893046,1.8008932e-06,7.856038e-07,1.3980846e-06,0.9551975,0.09559259,2.169286,1.2093901e-06,5.5272085e-07,1.2078235e-06,0.9536717,0.087908,2.1801789,1.958636e-06,8.27187e-07,1.8321011e-06,0.94102883,0.10371686,2.1977844,1.5851792e-06,4.4618582e-07,1.4966852e-06,0.94107175,0.11740496,2.1963296,2.2336358e-06,7.148858e-07,1.8965918e-06,0.99252653,0.082243,2.1931531,6.924688e-07,4.2112333e-07,1.0516983e-06,0.95490927,0.093746975,2.1744838,2.0898524e-06,8.514253e-07,1.4599727e-06
2,0.9586579,0.091437705,2.1809363,1.2816649e-06,5.44925e-07,1.0973076e-06,0.9557106,0.0785768,2.1888762,1.7267853e-06,5.779326e-07,1.1377688e-06,0.9576874,0.09073986,2.1705344,1.2748171e-06,6.4980486e-07,1.1734467e-06,0.94281155,0.08232721,2.1779983,1.266309e-06,5.3165513e-07,1.1193727e-06,0.9397455,0.08163454,2.175424,1.0665842e-06,5.1175664e-07,1.0016884e-06,1.0887326,0.120509624,2.6971269,6.191526e-07,3.3226843e-07,4.1930662e-07,0.9516664,0.10195121,2.1902416,1.6110432e-06,5.01414e-07,1.1880152e-06,0.9567628,0.10720221,2.18906,1.5991409e-06,6.9997736e-07,1.241857e-06,0.95520097,0.09560199,2.1690848,1.1079117e-06,5.062237e-07,1.0862861e-06,0.9535279,0.08794363,2.1796885,1.7288862e-06,7.335668e-07,1.5963267e-06,0.9409108,0.103726126,2.1975422,1.4212715e-06,4.1532087e-07,1.3226966e-06,0.94093436,0.117424704,2.195967,1.954668e-06,6.424459e-07,1.6508434e-06,0.9927578,0.08225817,2.1936753,6.567582e-07,3.926292e-07,9.554385e-07,0.9548299,0.09377809,2.1741886,1.8362628e-06,7.535216e-07,1.29263e-06
3,0.95861477,0.09144857,2.1807528,1.1792583e-06,5.029369e-07,1.0049952e-06,0.95558006,0.07860105,2.188768,1.5744001e-06,5.3169606e-07,1.0401458e-06,0.9576722,0.09075524,2.1703238,1.1733462e-06,5.9476713e-07,1.0720055e-06,0.9427695,0.082341224,2.1778297,1.1660102e-06,4.913401e-07,1.0247566e-06,0.9397288,0.08159556,2.1753926,9.908968e-07,4.7390893e-07,9.220166e-07,1.0901293,0.12179698,2.7034566,5.852294e-07,3.0317926e-07,3.8694816e-07,0.9515964,0.10196325,2.1900473,1.4700981e-06,4.6507262e-07,1.084955e-06,0.9567192,0.107229464,2.1888604,1.4594928e-06,6.3928974e-07,1.1324164e-06,0.9552137,0.095609464,2.168913,1.0269757e-06,4.6910918e-07,9.958084e-07,0.95343834,0.0879728,2.1793187,1.5760961e-06,6.688763e-07,1.4539486e-06,0.9408261,0.10373408,2.1973526,1.3017341e-06,3.8933558e-07,1.2044762e-06,0.94085276,0.11744109,2.1956964,1.7834341e-06,5.888504e-07,1.5052772e-06,0.99311125,0.0822778,2.194574,6.2502977e-07,3.6845074e-07,8.8045306e-07,0.95479804,0.09380157,2.1739519,1.6735885e-06,6.867312e-07,1.1774567e-06
4,0.95858514,0.091457576,2.1805968,1.1012769e-06,4.7015965e-07,9.366904e-07,0.95551693,0.07862403,2.1887248,1.4730498e-06,4.963157e-07,9.690301e-07,0.95766765,0.09076745,2.1701481,1.0958363e-06,5.545501e-07,9.988897e-07,0.94274014,0.082353435,2.1776872,1.0892353e-06,4.5961303e-07,9.550686e-07,0.9397223,0.08153618,2.1754122,9.297805e-07,4.437863e-07,8.607416e-07,1.0919896,0.123545706,2.7119756,5.5471173e-07,2.7685365e-07,3.568066e-07,0.9515479,0.10197401,2.1898823,1.3730116e-06,4.358866e-07,1.0111853e-06,0.95669425,0.107254766,2.1886961,1.3626816e-06,5.962046e-07,1.0556914e-06,0.955231,0.09561556,2.1687658,9.623838e-07,4.3945977e-07,9.284163e-07,0.9533801,0.08799722,2.1790361,1.4742997e-06,6.2409225e-07,1.3678508e-06,0.94076294,0.10374106,2.1972022,1.2144775e-06,3.6744467e-07,1.1240795e-06,0.9408027,0.11745501,2.1954916,1.6780497e-06,5.491493e-07,1.4189492e-06,0.9935867,0.082303084,2.1958618,5.968243e-07,3.4790907e-07,8.219381e-07,0.95479196,0.09381948,2.1737618,1.5690058e-06,6.4107746e-07,1.0981194e-06
5,0.9585653,0.091467194,2.1804647,1.0418449e-06,4.4455004e-07,8.861273e-07,0.95550257,0.078647085,2.1887376,1.4055055e-06,4.6921383e-07,9.1718755e-07,0.9576699,0.09077717,2.1700015,1.0365819e-06,5.251243e-07,9.4616325e-07,0.9427193,0.08236418,2.177566,1.0304225e-06,4.3462353e-07,9.0371736e-07,0.93972343,0.08145589,2.1754818,8.8040497e-07,4.1979234e-07,8.1359485e-07,1.0943205,0.1257776,2.7227204,5.2713983e-07,2.5249773e-07,3.2838273e-07,0.95151275,0.101983726,2.1897407,1.3060327e-06,4.1243067e-07,9.583571e-07,0.9566812,0.10727918,2.1885607,1.295464e-06,5.6556934e-07,1.0018746e-06,0.9552507,0.095620535,2.1686401,9.1080494e-07,4.157572e-07,8.7819865e-07,0.9533419,0.08801778,2.178819,1.406351e-06,5.9303807e-07,1.3157367e-06,0.9407152,0.103747174,2.197082,1.1507211e-06,3.4899415e-07,1.0693749e-06,0.9407722,0.117466904,2.1953356,1.6129909e-06,5.197125e-07,1.3677044e-06,0.99418557,0.08233519,2.1975615,5.7173725e-07,3.3043432e-07,7.7616755e-07,0.9548019,0.09383288,2.1736107,1.5016142e-06,6.0981625e-07,1.0434334e-06
6,0.95855176,0.091475494,2.1803517,9.965111e-07,4.245237e-07,8.486837e-07,0.9555589,0.07866546,2.188831,1.3603872e-06,4.4843347e-07,8.7936934e-07,0.95767677,0.09078481,2.16988,9.912495e-07,5.0356493e-07,9.08125e-07,0.9427045,0.082373664,2.1774628,9.853336e-07,4.1492626e-07,8.658642e-07,0.9397307,0.08135381,2.1756022,8.4049486e-07,4.0066476e-07,7.7730306e-07,1.0952375,0.12795337,2.7326272,5.035115e-07,2.3310506e-07,3.044181e-07,0.9514908,0.10199214,2.1896236,1.2597436e-06,3.9356962e-07,9.205115e-07,0.956675,0.1072994,2.188448,1.2487221e-06,5.437547e-07,9.641102e-07,0.9552716,0.095624544,2.168533,8.6959335e-07,3.9679452e-07,8.407672e-07,0.9533171,0.08803507,2.1786516,1.3609096e-06,5.714723e-07,1.2841657e-06,0.9406792,0.10375249,2.1969864,1.1040848e-06,3.3343667e-07,1.0321343e-06,0.9407542,0.117477015,2.1952164,1.5726807e-06,4.978699e-07,1.3372562e-06,0.9949068,0.082375914,2.1996822,5.494086e-07,3.1554328e-07,7.4023444e-07,0.954816,0.093843676,2.1734853,1.4580824e-06,5.8837577e-07,1.0057213e-06
7,0.9585428,0.091482624,2.1802552,9.619021e-07,4.0885118e-07,8.209466e-07,0.9556728,0.07868368,2.1889966,1.3301659e-06,4.3248247e-07,8.5175014e-07,0.957687,0.090790644,2.1697798,9.565418e-07,4.8774774e-07,8.806729e-07,0.9426942,0.08238204,2.1773748,9.50738e-07,3.9938942e-07,8.3795186e-07,0.93974286,0.081228785,2.175775,8.082196e-07,3.8540378e-07,7.4935485e-07,1.0953672,0.13000387,2.741984,4.8305435e-07,2.1773812e-07,2.8459618e-07,0.9514786,0.10199936,2.1895273,1.2276881e-06,3.7839555e-07,8.933884e-07,0.9566733,0.10731608,2.188354,1.2161673e-06,5.2819973e-07,9.376009e-07,0.9552932,0.09562769,2.1684425,8.3664554e-07,3.8161375e-07,8.1285714e-07,0.9533014,0.088049576,2.1785223,1.3304613e-06,5.564756e-07,1.2650245e-06,0.9406524,0.103757024,2.1969109,1.06993e-06,3.203137e-07,1.0067703e-06,0.9407443,0.11748556,2.195125,1.5475975e-06,4.8165197e-07,1.3191446e-06,0.9957527,0.0824272,2.2022576,5.295218e-07,3.0282678e-07,7.1186815e-07,0.9548318,0.09385234,2.1733813,1.4298921e-06,5.7364866e-07,9.797043e-07
